idx,step,amount,isFraud,amount_log,day,hour,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
1951391,323,128939.17,0,11.767112,13,11,False,True,False,False,False
1818603,303,6102.19,0,8.716731,12,15,False,True,False,False,False
2714440,592,101850.29,0,11.531279,24,16,False,True,False,False,False
1313572,232,137248.12,0,11.82956,9,16,False,True,False,False,False
1435989,251,132583.28,0,11.794981,10,11,False,True,False,False,False
5383,8,182940.45,0,12.116927,0,8,False,True,False,False,False
2452601,395,2646.18,0,7.881628,16,11,False,True,False,False,False
1679819,282,359463.9,0,12.792375,11,18,False,True,False,False,False
1621266,277,303659.84,0,12.62367,11,13,False,True,False,False,False
1454903,253,82360.07,0,11.31888,10,13,False,True,False,False,False
957572,185,256285.4,0,12.454055,7,17,False,False,False,False,True
1514879,257,180099.22,0,12.1012745,10,17,False,True,False,False,False
964719,185,13041.33,0,9.476032,7,17,False,True,False,False,False
702195,156,51565.81,0,10.850653,6,12,False,False,False,False,True
252423,33,335485.44,0,12.72334,1,9,False,True,False,False,False
582195,137,209689.78,0,12.253394,5,17,False,True,False,False,False
184009,18,29478.86,0,10.291496,0,18,False,True,False,False,False
2141060,349,35405.84,0,10.474689,14,13,False,True,False,False,False
332048,38,191415.98,0,12.162214,1,14,False,True,False,False,False
1485768,255,97775.36,0,11.490448,10,15,False,True,False,False,False
873757,179,341842.44,0,12.742111,7,11,False,True,False,False,False
1173818,210,167626.72,0,12.029507,8,18,False,True,False,False,False
2501370,398,1264060.5,0,14.049841,16,14,False,False,False,False,True
635072,140,215599.95,0,12.281189,5,20,False,True,False,False,False
803527,163,126217.12,0,11.745774,6,19,False,True,False,False,False
234019,20,162080.31,0,11.995859,0,20,False,True,False,False,False
2520522,400,1492787.6,0,14.216157,16,16,False,False,False,False,True
659550,143,297921.12,0,12.60459,5,23,False,False,False,False,True
994335,187,2085484.5,0,14.550512,7,19,False,False,False,False,True
2691901,565,203204.6,0,12.221978,23,13,False,True,False,False,False
1782067,301,216652.48,0,12.286059,12,13,False,True,False,False,False
2497281,398,139260.83,0,11.844118,16,14,False,True,False,False,False
44650,11,184620.53,0,12.126069,0,11,False,True,False,False,False
2620246,426,197614.39,0,12.194083,17,18,False,False,False,False,True
578832,136,61899.39,0,11.033298,5,16,False,True,False,False,False
2373309,378,221417.16,0,12.307813,15,18,False,True,False,False,False
1252158,227,53562.75,0,10.888646,9,11,False,True,False,False,False
602449,138,504.09,0,6.2267146,5,18,False,True,False,False,False
2057158,331,186008.72,0,12.133559,13,19,False,True,False,False,False
1445125,252,132037.31,0,11.790855,10,12,False,True,False,False,False
1493369,255,29865.69,0,10.304533,10,15,False,True,False,False,False
2718420,594,34048.4,0,10.435597,24,18,False,True,False,False,False
